first_name,last_name,gender,father_name,email,dob
Armstrong,Cohr,Male,Armstrong Cohr,acohr0@time.com,9/19/1998
Adams,Erangy,Male,Adams Erangy,aerangy1@go.com,12/16/1997
Nicola,Siddeley,Male,Nicola Siddeley,nsiddeley2@stanford.edu,5/20/1998
Quinton,Laffoley-Lane,Male,Quinton Laffoley-Lane,qlaffoleylane3@techcrunch.com,10/29/1998
Tabbi,Hartnell,Female,Tabbi Hartnell,thartnell4@psu.edu,4/1/1998
Estrella,Muzzlewhite,Female,Estrella Muzzlewhite,emuzzlewhite5@devhub.com,3/26/1998
Sherwin,Chaplin,Male,Sherwin Chaplin,schaplin6@ibm.com,10/25/1998
Oberon,Pulford,Male,Oberon Pulford,opulford7@123-reg.co.uk,5/17/1998
Elli,Jozef,Female,Elli Jozef,ejozef8@deliciousdays.com,5/20/1998
Josi,Cullinane,Female,Josi Cullinane,jcullinane9@tinyurl.com,12/19/1997
Issi,Ingleson,Female,Issi Ingleson,iinglesona@unicef.org,5/27/1998
Mattias,Waghorne,Male,Mattias Waghorne,mwaghorneb@virginia.edu,6/22/1998
